step,time,holdings,trade_size,trade_rate
0,0.0,100000.0,0.0,0.0
1,0.05,92284.01160641733,7715.988393582666,154319.7678716533
2,0.1,85029.63551508974,7254.376091327591,145087.52182655182
3,0.15000000000000002,78200.58473338812,6829.050781701619,136581.01563403237
4,0.2,71762.69978126085,6437.884952127279,128757.69904254557
5,0.25,65683.77782267299,6078.92195858786,121578.4391717572
6,0.30000000000000004,59933.41158434192,5750.366238331066,115007.32476662131
7,0.35000000000000003,54482.837256027095,5450.574328314826,109011.48656629652
8,0.4,49304.79061155857,5178.046644468523,103560.93288937045
9,0.45,44373.37063090994,4931.419980648629,98628.39961297257
10,0.5,39663.90994114161,4709.460689768333,94189.21379536667
11,0.55,35152.85142814964,4511.058512991971,90221.17025983942
12,0.6000000000000001,30817.630402021412,4335.221026128227,86704.42052256454
13,0.65,26636.561726579846,4181.068675441566,83621.37350883131
14,0.7000000000000001,22588.731348528356,4047.8303780514907,80956.60756102981
15,0.75,18653.891683616715,3934.8396649116403,78696.7932982328
16,0.8,14812.360336540394,3841.5313470763213,76830.62694152643
17,0.8500000000000001,11044.921647962103,3767.4386885782915,75348.77377156583
18,0.9,7332.730576185383,3712.1910717767196,74243.82143553438
19,0.9500000000000001,3657.218432688509,3675.512143496874,73510.24286993747
20,1.0,0.0,3657.218432688509,73144.36865377017
